task_id,seed,m,estimate,workers,time
112,0x9747b2fc,1024,293797.9837675781,16,14.235451936721802
95,0x9747b2eb,1024,272154.5572280982,16,18.017141819000244
111,0x9747b2fb,1024,290322.2115435195,16,18.239522457122803
114,0x9747b2fe,1024,287349.4084383698,16,14.446477890014648
113,0x9747b2fd,1024,286001.90461839695,16,18.113011837005615
116,0x9747b300,1024,294571.94939881895,16,17.88497257232666
117,0x9747b301,1024,283438.8324687619,16,14.466325521469116
120,0x9747b304,1024,287267.7210860359,16,14.04300308227539
121,0x9747b305,1024,273044.50670442596,16,14.357779026031494
118,0x9747b302,1024,278116.2302966683,16,18.221058130264282
105,0x9747b2f5,1024,277568.0326954078,16,17.85219168663025
122,0x9747b306,1024,289151.3924423004,16,14.37488579750061
119,0x9747b303,1024,302326.9791716296,16,18.075805187225342
123,0x9747b307,1024,285733.9189977818,16,18.11295747756958
125,0x9747b309,1024,284174.40642553574,16,14.448398113250732
124,0x9747b308,1024,285133.1428625785,16,17.924192667007446
96,0x9747b2ec,1024,262315.4430031214,16,14.284353971481323
127,0x9747b30b,1024,285922.0133898022,16,14.422939538955688
126,0x9747b30a,1024,286493.1466686963,16,18.11369752883911
128,0x9747b30c,1024,272715.5392047118,16,17.184685707092285
129,0x9747b30d,1024,302406.25960936036,16,14.106912851333618
130,0x9747b30e,1024,309907.4292540659,16,14.259859800338745
132,0x9747b310,1024,296977.3796219086,16,14.251215934753418
131,0x9747b30f,1024,253062.00554561705,16,17.9676513671875
115,0x9747b2ff,1024,272686.9095812732,16,18.111167192459106
134,0x9747b312,1024,288364.9873798063,16,18.48512864112854
136,0x9747b314,1024,276923.51453977166,16,14.452555179595947
135,0x9747b313,1024,278978.8443560864,16,18.33484148979187
139,0x9747b317,1024,289061.92734155984,16,14.372302770614624
138,0x9747b316,1024,271923.22195262177,16,18.236956357955933
142,0x9747b31a,1024,273659.3526891205,16,14.152680158615112
143,0x9747b31b,1024,272899.8512883654,16,14.384613990783691
141,0x9747b319,1024,281433.13762944547,16,17.96009850502014
144,0x9747b31c,1024,308540.0884152281,16,14.072325944900513
147,0x9747b31f,1024,295696.6971081885,16,14.249533653259277
146,0x9747b31e,1024,288137.55963214824,16,18.291087865829468
145,0x9747b31d,1024,293559.24396827776,16,18.327802896499634
150,0x9747b322,1024,291258.10240560025,16,14.438984870910645
148,0x9747b320,1024,293663.43396770535,16,18.403680324554443
149,0x9747b321,1024,290166.5661890324,16,18.315338134765625
153,0x9747b325,1024,275843.23315896216,16,14.254212856292725
152,0x9747b324,1024,284739.62137607136,16,14.260036945343018
133,0x9747b311,1024,290080.9593365831,16,17.959396362304688
151,0x9747b323,1024,298227.4501690397,16,18.0942645072937
154,0x9747b326,1024,282645.0844149222,16,14.395037174224854
137,0x9747b315,1024,279534.80425691005,16,14.311753034591675
156,0x9747b328,1024,283574.2763016351,16,14.106265783309937
155,0x9747b327,1024,274078.8500086054,16,17.953361988067627
160,0x9747b32c,1024,272765.49116818205,16,14.114547491073608
